fecha_transaccion,encrypt_rut,comuna,marca,detalle,brand_origin,retail,precio_de_lista_synt,margen_retail,margin_pct,loss_making,price_band,year,month,quarter
2018-08-21,56edb0814c8dfe07f441c55af8b53ece3290bc13e9f2f2d99fe380a8c0889311,COQUIMBO,Suzuki,SWIFT 1.2 GL AC,Incumbent,ces,5506910.724368965,329832.4375,0.05989427721071243,0,Economy,2018,8,3
2019-05-17,3e736332dce55b37f5b10633269413b92030481c3457b676ee872ce5d07548f5,LO BARNECHEA,Suzuki,GRAND VITARA 2.4 AT GLX NAV,Incumbent,ces,8850592.836389769,444341.28125,0.05020469130870679,0,Premium,2019,5,2
2021-08-25,2b76bfe04618a7d412fe672b9de9a0888e530c3011defb9cd407e9e5e1710f62,VALPARAISO,JAC Cars,S3 CE COMFORT SMART 1.6 MT,Chinese,ces,8766954.975987049,606088.8125,0.06913333240105547,0,Premium,2021,8,3
2017-09-30,b9dcb0d85359ccdb8aec723a3725672320acfa478438f75c0f20531fc272291b,ZAPALLAR,Suzuki,SWIFT 1.2 GLX,Incumbent,ces,7573338.24924436,493379.90625,0.06514695237588623,0,Mid,2017,9,3
2022-02-28,f396d9e1d2d1b403b1cb12e483d25262640a09850c6380868f5a416ab6e8a3fb,CHIGUAYANTE,Mazda,NEW CX-5 R 2.0 2WD 6AT,Incumbent,ces,17341050.03856029,1289721.375,0.07437389155397864,0,Premium,2022,2,1
2020-05-18,aa8b180bc05ba397fa05bcb370375409dbd5016c6239e036a77bdc84b6c4db3a,SAN PEDRO DE LA PAZ,Suzuki,SPRESSO 1.0 GLX AC,Incumbent,ces,5201235.550652849,216824.28125,0.04168707206940179,0,Economy,2020,5,2
2021-11-19,dd1077cb28ca3732cd8a12067e87500afaedfc62b34455ae1430ebb823217822,LA FLORIDA,Mazda,NEW MX-5 2.0 6MT T.LONA,Incumbent,ces,20350115.30764722,1025542.5625,0.05039492636754834,0,Premium,2021,11,4
2012-08-27,d7e5a445465e8d18991215938adbe1ff5359f9b55eeaa12c7428781a1c5ee795,RIO BUENO,Suzuki,ALTO 800 GL2,Incumbent,ces,2528525.8000766337,221176.484375,0.08747250448000042,0,Economy,2012,8,3
2013-11-30,f51fafc0699c8a58a276b66ca8616acd898b0a25f6d871b930718965a5db9874,MAIPU,JAC Cars,J2 1.0 5P BE,Chinese,propio,3087740.923540828,178024.640625,0.05765530367776209,0,Economy,2013,11,4
2012-11-28,f5103f2b0b1482890ab52e9e027b55e72d9ad46fead2624a6124a31de1324ca9,PEDRO AGUIRRE CERDA,Samsung,SM3 SE MT TX,Incumbent,ces,5523827.5265123295,463193.28125,0.0838536827999867,0,Economy,2012,11,4
